0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:56:35 +0900] "GET /team4/menu/images/icon/login-01-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:56:35 +0900] "GET /team4/menu/images/icon/cart-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:56:35 +0900] "GET /team4/menu/images/icon/search-01-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:56:37 +0900] "GET /team4/logo_purple.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:56:39 +0900] "GET /team4/logo_yellow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:56:41 +0900] "GET /team4/logo_pink.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:56:44 +0900] "GET /team4/logo_green.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:56:53 +0900] "GET /team4/logo_blue.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:08 +0900] "GET /team4/logo_yellow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:17 +0900] "GET /team4/logo_purple.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:26 +0900] "GET /team4/index.jsp HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:26 +0900] "GET /team4/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:26 +0900] "GET /team4/javascript/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:26 +0900] "GET /team4/menu/images/icon/menu_grey_s.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:26 +0900] "GET /team4/menu/images/icon/login-01-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:26 +0900] "GET /team4/menu/images/icon/cart-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:26 +0900] "GET /team4/menu/images/icon/search-01-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:26 +0900] "GET /team4/logo_pink.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:27 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6819
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:30 +0900] "GET /team4/logo_green.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:46 +0900] "GET /team4/logo_yellow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:57:58 +0900] "GET /team4/logo_purple.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:01 +0900] "GET /team4/logo_blue.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:45 +0900] "GET /team4/index.jsp HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:45 +0900] "GET /team4/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:45 +0900] "GET /team4/javascript/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:45 +0900] "GET /team4/menu/images/icon/menu_grey_s.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:45 +0900] "GET /team4/menu/images/icon/cart-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:45 +0900] "GET /team4/menu/images/icon/login-01-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:45 +0900] "GET /team4/menu/images/icon/search-01-01.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:58:45 +0900] "GET /team4/logo_pink.svg HTTP/1.1" 304 -
