사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-01,2호선,0222,강남,310,6,"17,056","12,736","25,137","54,183","44,628","156,082","70,230","340,216","60,770","394,071","63,771","181,481","86,622","153,252","115,480","158,549","149,166","188,718","152,468","162,738","183,604","154,123","208,926","158,864","267,291","193,937","374,029","263,058","255,352","194,223","207,610","87,101","251,784","64,384","271,204","57,073","127,885","35,444","23,456","10,153",171,283,7,17,0,0,2020-02-03 12:20:06
2020-01,2호선,0223,교대(법원.검찰청),19,0,"2,861","7,483","13,229","24,275","26,311","52,155","40,516","151,558","32,126","144,987","29,666","73,956","37,649","66,342","41,832","61,900","53,110","67,575","61,223","62,683","66,159","56,649","68,614","56,102","95,143","67,771","150,290","88,372","76,296","58,980","59,768","31,111","64,807","27,122","58,115","25,856","24,186","14,961","5,043","4,337",20,71,0,7,0,0,2020-02-03 12:20:06
2020-01,2호선,0224,서초,2,0,"1,320","4,929","6,852","19,138","14,299","43,812","24,366","117,501","25,302","99,067","19,525","44,420","28,081","36,922","26,864","27,275","36,513","30,278","36,100","30,068","40,873","24,013","45,248","24,151","65,663","27,097","105,546","28,639","51,670","20,769","32,325","11,796","34,846","10,420","23,720","10,548","8,190","6,148","1,114","1,779",5,17,1,5,0,0,2020-02-03 12:20:06
2020-01,2호선,0225,방배,13,1,"2,868","3,496","9,277","12,768","22,320","24,352","35,180","72,282","29,077","47,818","20,847","26,568","22,479","21,796","23,940","22,496","27,211","25,830","27,127","25,318","29,388","24,405","33,351","26,006","43,997","31,313","69,831","39,629","31,184","34,496","22,431","21,105","22,694","20,146","19,167","21,184","8,857","12,882","1,840","3,883",14,51,0,7,0,0,2020-02-03 12:20:06
2020-01,2호선,0226,사당,239,4,"12,823","3,514","22,446","31,975","72,384","42,302","100,259","71,762","75,294","55,750","49,472","45,009","47,161","55,767","55,923","57,217","61,078","56,147","65,596","57,350","65,902","67,343","67,458","88,361","79,066","114,516","101,028","170,163","71,703","139,733","64,500","75,066","74,192","71,740","75,212","70,138","45,656","44,082","8,289","14,197",60,"1,041",1,27,0,0,2020-02-03 12:20:06
2020-01,2호선,0227,낙성대,42,2,"11,169","1,992","24,611","9,896","78,292","16,471","128,037","41,593","83,960","36,370","45,119","27,694","38,839","25,415","43,257","28,945","43,815","32,504","38,687","34,654","38,434","38,568","41,751","43,372","49,346","57,708","56,891","91,095","32,054","95,086","24,927","58,232","22,887","57,276","19,902","58,242","10,721","38,248","1,831","11,528",19,375,1,12,0,0,2020-02-03 12:20:06
2020-01,2호선,0228,서울대입구(관악구청),"3,905",20,"27,922","2,905","41,245","15,519","128,194","26,263","187,423","65,874","127,436","68,614","73,416","53,226","66,756","53,229","72,530","57,956","80,194","67,766","71,296","67,861","74,606","74,736","80,797","83,843","90,002","108,016","104,233","165,656","66,140","167,684","54,239","95,817","54,128","91,621","52,504","92,572","28,248","60,274","4,754","23,308",47,"3,829",1,73,0,0,2020-02-03 12:20:06
2020-01,2호선,0229,봉천,81,1,"14,248","1,824","26,561","8,107","80,680","10,699","122,201","25,860","74,665","23,003","42,805","21,695","35,425","23,026","38,313","25,076","38,659","28,009","33,165","30,404","32,451","37,183","32,795","43,613","35,085","52,277","37,565","80,789","23,309","77,616","17,724","47,834","16,272","47,160","12,417","45,610","5,629","28,301","1,039","8,937",10,271,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0230,신림,286,17,"38,835","5,074","75,512","21,667","211,459","32,226","321,790","64,662","192,679","57,517","109,299","52,260","93,063","57,082","97,212","64,149","97,209","74,931","88,151","83,015","86,485","97,290","92,634","114,569","101,114","151,361","109,256","242,827","74,822","255,485","60,326","152,982","58,867","147,500","54,630","142,615","31,737","98,889","5,819","30,555",69,808,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0231,신대방,148,4,"21,151","2,449","34,647","9,703","89,155","17,355","133,335","36,317","85,794","25,731","50,115","21,323","41,218","22,293","42,106","25,055","41,567","28,639","36,415","31,471","34,528","41,973","36,159","47,613","39,565","60,556","47,956","89,033","27,839","87,680","20,342","56,971","16,704","63,362","13,182","63,998","6,393","38,324","1,085","11,032",12,383,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0232,구로디지털단지,176,8,"36,222","6,567","50,999","21,744","139,244","69,743","190,840","257,694","123,694","162,115","77,448","65,489","69,778","56,558","76,687","56,283","80,417","70,543","73,475","72,047","77,618","79,279","90,821","86,852","129,318","115,856","238,715","168,175","128,015","154,457","79,629","95,397","66,509","99,533","55,684","100,145","27,349","62,035","4,356","17,001",33,747,0,1,0,0,2020-02-03 12:20:06
2020-01,2호선,0233,대림(구로구청),538,14,"30,554","3,376","30,118","11,371","65,619","20,838","99,292","57,694","73,724","39,259","46,138","37,336","38,939","42,196","41,634","38,423","43,237","41,048","39,918","40,911","40,935","48,201","44,191","50,969","51,040","68,204","64,188","77,163","36,440","64,188","25,468","44,726","21,204","57,177","15,679","58,820","8,564","30,699","1,214","7,854",28,403,9,4,0,0,2020-02-03 12:20:06
2020-01,2호선,0234,신도림,"3,120",19,"32,818","5,718","48,482","18,596","135,727","39,472","146,940","120,228","94,169","80,246","67,295","74,041","67,304","71,391","79,047","77,053","84,802","83,841","84,034","79,083","87,606","85,613","98,526","97,078","114,918","116,304","148,442","179,578","91,482","155,525","78,652","87,033","80,845","80,165","63,607","80,682","26,992","61,739","3,376","26,709",35,"3,426",0,52,0,0,2020-02-03 12:20:06
2020-01,2호선,0235,문래,5,1,"3,582","1,812","10,776","10,449","41,022","29,860","46,229","123,099","27,486","57,778","20,796","24,398","20,701","21,868","23,974","22,185","25,936","24,440","25,937","23,394","27,232","23,899","32,161","26,363","50,157","31,396","101,142","49,225","40,383","42,407","27,197","23,002","26,299","20,452","21,125","18,666","9,920","12,686","1,557","4,246",14,117,1,1,0,0,2020-02-03 12:20:06
2020-01,2호선,0236,영등포구청,34,3,"5,070","2,641","12,160","11,232","40,854","31,908","49,782","118,922","31,533","53,673","24,485","27,860","26,038","25,588","27,859","26,034","30,499","29,352","31,187","28,665","31,681","28,783","36,151","30,581","50,746","36,209","102,124","56,202","39,650","42,765","29,833","24,918","28,806","22,716","22,994","21,627","10,049","15,166","1,668","5,582",10,244,0,4,0,0,2020-02-03 12:20:06
2020-01,2호선,0237,당산,25,1,"5,944","3,125","16,394","13,688","44,121","25,327","60,965","83,949","36,644","41,036","25,842","22,919","25,892","21,786","26,252","22,066","26,807","25,139","25,029","25,407","25,922","27,734","28,828","32,495","42,618","42,750","66,782","71,652","33,742","56,955","22,931","35,666","22,909","34,686","19,895","33,703","10,639","22,345","1,640","5,963",17,266,0,3,0,0,2020-02-03 12:20:06
2020-01,2호선,0238,합정,136,2,"9,186","2,643","17,030","14,953","42,456","33,660","56,488","98,933","37,882","71,344","29,944","46,579","32,389","45,015","36,869","52,182","41,971","59,231","43,363","56,252","48,897","54,971","58,063","63,333","74,703","78,209","117,313","113,762","75,526","91,888","62,269","47,028","73,708","36,898","70,577","32,838","38,358","23,420","6,515","8,425",64,322,0,5,0,0,2020-02-03 12:20:06
2020-01,2호선,0239,홍대입구,"1,718",28,"38,358","3,941","35,718","18,815","66,585","34,086","85,423","106,984","67,037","124,852","63,633","96,961","74,564","121,480","83,645","157,846","95,789","181,473","102,168","176,360","122,233","179,626","147,929","189,366","180,622","211,847","215,475","265,759","176,544","215,161","170,048","123,185","206,236","97,238","226,198","78,303","125,826","58,673","16,246","21,334",235,"2,123",0,23,0,0,2020-02-03 12:20:06
2020-01,2호선,0240,신촌,155,5,"10,148","3,179","15,228","14,718","36,635","36,129","53,863","88,253","39,847","110,754","40,808","73,225","50,632","73,474","63,895","78,576","72,265","93,202","71,029","78,941","82,387","75,838","95,549","80,330","112,885","96,144","115,402","135,857","85,416","103,066","85,948","54,037","94,271","43,865","101,149","39,405","52,494","29,263","7,954","8,690",63,194,0,4,0,0,2020-02-03 12:20:06
2020-01,2호선,0241,이대,38,1,"2,790","1,422","6,275","11,973","16,984","12,370","25,583","38,158","17,563","38,527","14,710","31,098","19,657","29,512","27,642","36,035","28,780","33,283","29,348","30,723","36,498","30,127","43,265","29,402","49,630","28,408","42,048","35,533","27,885","28,153","21,787","17,607","21,967","16,094","18,027","15,824","6,031","12,624",861,"3,666",10,129,0,4,0,0,2020-02-03 12:20:06
2020-01,2호선,0242,아현,27,2,"4,070","1,067","9,219","6,934","25,172","8,100","36,713","16,552","23,303","13,319","17,136","10,429","16,842","9,570","17,994","11,856","16,868","12,860","16,121","13,499","15,803","15,395","17,441","17,956","19,522","21,143","20,758","30,289","12,161","26,062","8,568","17,356","7,275","17,072","4,659","16,413","2,386","11,589",366,"3,111",4,103,0,1,0,0,2020-02-03 12:20:06
2020-01,2호선,0243,충정로(경기대입구),22,3,"3,389",923,"6,537","5,301","15,708","13,749","23,355","66,188","16,141","32,610","12,638","14,251","13,685","11,479","13,516","11,497","15,377","13,379","14,746","12,990","15,136","13,243","17,187","14,209","23,061","16,482","54,400","23,421","18,216","17,973","12,209","12,211","11,505","11,916","8,496","11,367","3,765","8,317",647,"2,318",4,128,0,1,0,0,2020-02-03 12:20:06
2020-01,2호선,0244,용답,3,0,"2,284",250,"2,931",832,"7,216","1,361","12,647","2,994","6,637","2,181","4,525","1,867","4,280","2,202","4,520","2,947","4,852","3,437","4,316","3,592","3,959","4,314","4,039","5,568","4,343","6,132","3,967","10,111","2,413","7,656","1,720","4,745","1,304","5,768","1,007","5,233",554,"3,824",109,"1,141",0,9,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0245,신답,1,0,932,39,"1,842",563,"6,195",874,"10,626","1,850","4,118","1,070","2,366",977,"2,090","1,204","2,213","1,481","2,187","1,652","1,956","2,005","1,753","2,664","1,857","3,319","1,860","3,946","2,163","8,800","1,199","7,097",701,"3,402",561,"3,977",511,"2,820",180,"2,292",45,654,0,6,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0246,신설동,16,1,"1,050",370,"1,284","1,744","2,847","5,924","5,980","14,358","4,241","10,841","4,352","8,627","5,763","8,134","7,034","8,136","7,964","8,247","9,310","8,093","10,501","7,068","11,650","5,877","12,869","5,498","16,079","5,853","6,702","4,827","3,762","3,286","3,072","3,122","2,329","2,713",836,"2,030",129,689,1,118,0,1,0,0,2020-02-03 12:20:06
2020-01,2호선,0247,도림천,0,0,339,347,984,788,"2,674","2,711","3,437","5,376","2,069","2,085","1,838","1,456","1,683","1,426","2,278","2,178","1,814","1,316","1,819","1,748","2,241","1,548","2,320","1,828","2,864","2,059","3,327","2,829","1,859","2,573",871,"1,639",819,"1,463",412,"1,274",215,"1,064",23,348,2,6,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0248,양천구청,16,0,"4,672",949,"10,464","2,054","31,158","4,698","29,660","10,142","17,541","5,974","12,656","5,615","11,945","5,677","11,905","7,179","11,242","8,602","10,021","9,186","9,236","11,261","10,053","13,087","10,467","17,229","10,829","28,250","4,716","26,256","3,353","16,176","2,734","14,138","2,416","13,915",966,"11,242",165,"3,656",3,90,0,1,0,0,2020-02-03 12:20:06
2020-01,2호선,0249,신정네거리,58,1,"7,373","1,377","12,403","7,378","40,239","4,963","38,564","11,287","23,109","8,463","16,935","7,767","15,414","8,619","15,620","9,827","14,878","11,754","13,348","12,866","12,771","15,597","14,590","19,081","17,282","24,536","13,945","40,805","8,218","33,425","5,943","21,750","4,733","17,302","4,053","17,200","1,906","12,457",339,"3,323",6,313,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0250,용두(동대문구청),9,0,945,146,"1,385",963,"4,720","2,093","7,855","6,378","4,120","3,912","3,291","3,399","3,701","4,240","4,289","3,999","4,804","4,821","4,971","5,122","5,278","5,120","5,316","4,705","5,310","4,718","5,987","7,450","3,048","6,232","2,344","3,244","1,902","3,033","1,250","2,401",466,"1,831",79,524,1,14,0,0,0,0,2020-02-03 12:20:06
