국적,관광,상용,공용,유학/연수,기타,계,기준년월,대륙,관광객 비율(%),전체비율(%)
독일,5220,171,17,200,1026,6634,2018-12,유럽,78.7,0.5
프랑스,4426,196,30,293,869,5814,2018-12,유럽,76.1,0.4
네덜란드,1649,28,10,82,541,2310,2018-12,유럽,71.4,0.1
스웨덴,1063,19,7,47,70,1206,2018-12,유럽,88.1,0.1
스위스,713,22,3,17,76,831,2018-12,유럽,85.8,0.1
이탈리아,1967,45,12,55,524,2603,2018-12,유럽,75.6,0.2
덴마크,497,10,6,28,131,672,2018-12,유럽,74.0,0.0
노르웨이,572,83,1,27,62,745,2018-12,유럽,76.8,0.1
벨기에,585,19,2,24,136,766,2018-12,유럽,76.4,0.1
오스트리아,474,7,1,16,125,623,2018-12,유럽,76.1,0.0
스페인,1201,18,9,49,199,1476,2018-12,유럽,81.4,0.1
그리스,463,16,4,3,167,653,2018-12,유럽,70.9,0.0
포르투갈,844,4,0,10,80,938,2018-12,유럽,90.0,0.1
핀란드,636,9,0,21,414,1080,2018-12,유럽,58.9,0.1
아일랜드,393,8,0,3,110,514,2018-12,유럽,76.5,0.0
우크라이나,533,107,9,10,1188,1847,2018-12,유럽,28.9,0.0
러시아,15774,119,18,83,7014,23008,2018-12,유럽,68.6,1.4
크로아티아,211,1,2,3,239,456,2018-12,유럽,46.3,0.0
루마니아,354,6,7,4,341,712,2018-12,유럽,49.7,0.0
불가리아,149,4,2,1,202,358,2018-12,유럽,41.6,0.0
폴란드,714,12,5,16,545,1292,2018-12,유럽,55.3,0.1
구주 기타,1524,43,13,48,876,2504,2018-12,유럽,60.9,0.1
오스트레일리아,15769,61,35,17,1292,17174,2018-12,오세아니아,91.8,1.4
뉴질랜드,2785,15,5,2,609,3416,2018-12,오세아니아,81.5,0.3
대양주 기타,295,3,13,2,75,388,2018-12,오세아니아,76.0,0.0
남아프리카공화국,579,5,0,3,266,853,2018-12,아프리카,67.9,0.1
아프리카 기타,999,766,34,82,825,2706,2018-12,아프리카,36.9,0.1
국적미상,51,4,0,0,22,77,2018-12,기타대륙,66.2,0.0
교포,0,0,0,0,18838,18838,2018-12,교포,0.0,0.0
