국적,관광,상용,공용,유학/연수,기타,계,기준년월,대륙,관광객 비율(%),전체비율(%)
러시아,5384,487,11,18,6362,12262,2011-12,유럽,43.9,0.8
크로아티아,230,13,0,1,386,630,2011-12,유럽,36.5,0.0
루마니아,203,10,0,0,564,777,2011-12,유럽,26.1,0.0
불가리아,180,1,1,1,605,788,2011-12,유럽,22.8,0.0
폴란드,430,15,0,3,591,1039,2011-12,유럽,41.4,0.1
구주 기타,1083,19,5,25,610,1742,2011-12,유럽,62.2,0.2
오스트레일리아,9833,199,24,7,902,10965,2011-12,오세아니아,89.7,1.5
뉴질랜드,2510,39,0,1,338,2888,2011-12,오세아니아,86.9,0.4
대양주 기타,364,1,6,2,229,602,2011-12,오세아니아,60.5,0.1
남아프리카공화국,369,21,0,0,211,601,2011-12,아프리카,61.4,0.1
아프리카 기타,701,452,27,39,526,1745,2011-12,아프리카,40.2,0.1
국적미상,14,0,0,0,1,15,2011-12,기타대륙,93.3,0.0
교포,0,0,0,0,27246,27246,2011-12,교포,0.0,0.0
일본,235585,2456,141,757,5431,244370,2012-01,아시아,96.4,42.3
대만,41833,64,11,79,938,42925,2012-01,아시아,97.5,7.5
홍콩,31524,28,0,26,628,32206,2012-01,아시아,97.9,5.7
마카오,1578,0,0,0,0,1578,2012-01,아시아,100.0,0.3
태국,20360,22,7,70,4783,25242,2012-01,아시아,80.7,3.7
말레이시아,9983,77,5,49,1693,11807,2012-01,아시아,84.6,1.8
필리핀,5529,181,71,109,20304,26194,2012-01,아시아,21.1,1.0
인도네시아,4689,418,10,91,4426,9634,2012-01,아시아,48.7,0.8
싱가포르,5925,81,3,27,1240,7276,2012-01,아시아,81.4,1.1
미얀마,882,18,1,25,4833,5759,2012-01,아시아,15.3,0.2
베트남,2993,180,9,211,2791,6184,2012-01,아시아,48.4,0.5
인도,1861,1470,7,96,3296,6730,2012-01,아시아,27.7,0.3
스리랑카,139,22,3,15,678,857,2012-01,아시아,16.2,0.0
파키스탄,106,203,4,29,334,676,2012-01,아시아,15.7,0.0
방글라데시,71,75,10,31,425,612,2012-01,아시아,11.6,0.0
캄보디아,182,49,1,20,501,753,2012-01,아시아,24.2,0.0
몽골,3569,388,27,326,533,4843,2012-01,아시아,73.7,0.6
중국,106606,4301,46,5590,50479,167022,2012-01,아시아,63.8,19.1
이란,64,213,1,14,21,313,2012-01,아시아,20.4,0.0
이스라엘,787,6,1,4,45,843,2012-01,아시아,93.4,0.1
터키,620,28,6,11,616,1281,2012-01,아시아,48.4,0.1
우즈베키스탄,467,677,5,34,1653,2836,2012-01,아시아,16.5,0.1
카자흐스탄,283,60,0,12,198,553,2012-01,아시아,51.2,0.1
GCC,446,152,9,44,178,829,2012-01,아시아,53.8,0.1
아시아 기타,894,360,40,83,460,1837,2012-01,아시아,48.7,0.2
미국,29961,694,1308,140,14642,46745,2012-01,아메리카,64.1,5.4
캐나다,5363,88,5,36,3710,9202,2012-01,아메리카,58.3,1.0
멕시코,309,27,1,30,245,612,2012-01,아메리카,50.5,0.1
브라질,648,142,1,20,248,1059,2012-01,아메리카,61.2,0.1
미주 기타,781,23,6,46,325,1181,2012-01,아메리카,66.1,0.1
영국,7355,470,7,25,1671,9528,2012-01,유럽,77.2,1.3
독일,4967,250,5,79,1686,6987,2012-01,유럽,71.1,0.9
프랑스,3378,264,56,158,1232,5088,2012-01,유럽,66.4,0.6
네덜란드,1150,49,3,25,444,1671,2012-01,유럽,68.8,0.2
스웨덴,747,84,0,34,225,1090,2012-01,유럽,68.5,0.1
스위스,471,16,0,5,83,575,2012-01,유럽,81.9,0.1
이탈리아,1320,44,8,16,234,1622,2012-01,유럽,81.4,0.2
덴마크,445,44,0,12,138,639,2012-01,유럽,69.6,0.1
노르웨이,610,266,0,9,160,1045,2012-01,유럽,58.4,0.1
벨기에,400,35,0,7,135,577,2012-01,유럽,69.3,0.1
오스트리아,375,11,3,9,208,606,2012-01,유럽,61.9,0.1
스페인,610,13,12,25,178,838,2012-01,유럽,72.8,0.1
그리스,365,46,0,2,337,750,2012-01,유럽,48.7,0.1
포르투갈,556,9,1,3,47,616,2012-01,유럽,90.3,0.1
핀란드,419,21,0,17,221,678,2012-01,유럽,61.8,0.1
아일랜드,345,26,0,2,336,709,2012-01,유럽,48.7,0.1
우크라이나,372,99,0,18,1825,2314,2012-01,유럽,16.1,0.1
러시아,5483,494,31,85,6758,12851,2012-01,유럽,42.7,1.0
크로아티아,135,17,0,0,230,382,2012-01,유럽,35.3,0.0
루마니아,251,32,0,8,474,765,2012-01,유럽,32.8,0.0
불가리아,158,1,0,4,483,646,2012-01,유럽,24.5,0.0
폴란드,537,25,1,20,530,1113,2012-01,유럽,48.2,0.1
구주 기타,1267,30,1,27,612,1937,2012-01,유럽,65.4,0.2
오스트레일리아,7823,252,3,16,1147,9241,2012-01,오세아니아,84.7,1.4
뉴질랜드,2018,23,0,3,482,2526,2012-01,오세아니아,79.9,0.4
대양주 기타,547,0,0,5,117,669,2012-01,오세아니아,81.8,0.1
남아프리카공화국,291,24,1,5,610,931,2012-01,아프리카,31.3,0.1
아프리카 기타,569,478,14,111,552,1724,2012-01,아프리카,33.0,0.1
국적미상,6,1,0,0,0,7,2012-01,기타대륙,85.7,0.0
교포,0,0,0,0,23709,23709,2012-01,교포,0.0,0.0
일본,287950,1288,117,1105,3857,294317,2012-02,아시아,97.8,50.1
대만,43508,45,4,205,952,44714,2012-02,아시아,97.3,7.6
홍콩,21373,18,0,72,716,22179,2012-02,아시아,96.4,3.7
마카오,1052,0,0,7,2,1061,2012-02,아시아,99.2,0.2
태국,26290,27,17,177,4833,31344,2012-02,아시아,83.9,4.6
말레이시아,8286,75,4,454,1476,10295,2012-02,아시아,80.5,1.4
필리핀,6954,161,35,95,18727,25972,2012-02,아시아,26.8,1.2
인도네시아,4285,586,14,362,3819,9066,2012-02,아시아,47.3,0.7
싱가포르,4735,93,3,144,1092,6067,2012-02,아시아,78.0,0.8
미얀마,980,20,1,64,4691,5756,2012-02,아시아,17.0,0.2
베트남,2515,294,15,920,6248,9992,2012-02,아시아,25.2,0.4
인도,1644,1772,17,163,3254,6850,2012-02,아시아,24.0,0.3
스리랑카,142,19,3,32,757,953,2012-02,아시아,14.9,0.0
파키스탄,121,237,5,161,315,839,2012-02,아시아,14.4,0.0
방글라데시,95,87,12,111,415,720,2012-02,아시아,13.2,0.0
캄보디아,176,42,8,66,893,1185,2012-02,아시아,14.9,0.0
몽골,3403,287,13,474,627,4804,2012-02,아시아,70.8,0.6
중국,74895,6007,132,28401,64355,173790,2012-02,아시아,43.1,13.0
이란,143,272,0,42,41,498,2012-02,아시아,28.7,0.0
이스라엘,893,3,2,6,47,951,2012-02,아시아,93.9,0.2
터키,694,18,0,40,603,1355,2012-02,아시아,51.2,0.1
우즈베키스탄,433,891,0,108,2886,4318,2012-02,아시아,10.0,0.1
카자흐스탄,309,110,8,117,219,763,2012-02,아시아,40.5,0.1
GCC,539,92,15,90,66,802,2012-02,아시아,67.2,0.1
아시아 기타,1226,394,47,208,979,2854,2012-02,아시아,43.0,0.2
미국,32504,494,876,426,13626,47926,2012-02,아메리카,67.8,5.7
캐나다,6190,84,8,67,3433,9782,2012-02,아메리카,63.3,1.1
멕시코,336,5,0,51,251,643,2012-02,아메리카,52.3,0.1
브라질,578,67,1,40,211,897,2012-02,아메리카,64.4,0.1
미주 기타,712,23,6,134,336,1211,2012-02,아메리카,58.8,0.1
영국,7126,310,0,29,1523,8988,2012-02,유럽,79.3,1.2
독일,5686,160,4,189,1641,7680,2012-02,유럽,74.0,1.0
프랑스,3654,151,10,360,753,4928,2012-02,유럽,74.1,0.6
네덜란드,1187,40,0,76,507,1810,2012-02,유럽,65.6,0.2
스웨덴,779,57,1,54,106,997,2012-02,유럽,78.1,0.1
스위스,836,13,0,20,67,936,2012-02,유럽,89.3,0.1
이탈리아,1491,25,5,15,265,1801,2012-02,유럽,82.8,0.3
덴마크,510,34,0,19,88,651,2012-02,유럽,78.3,0.1
노르웨이,656,173,0,12,123,964,2012-02,유럽,68.0,0.1
벨기에,440,29,0,17,87,573,2012-02,유럽,76.8,0.1
오스트리아,515,1,1,24,165,706,2012-02,유럽,72.9,0.1
스페인,707,5,0,58,169,939,2012-02,유럽,75.3,0.1
그리스,396,25,0,0,287,708,2012-02,유럽,55.9,0.1
포르투갈,289,5,0,6,83,383,2012-02,유럽,75.5,0.1
핀란드,473,14,0,72,191,750,2012-02,유럽,63.1,0.1
아일랜드,334,13,0,4,270,621,2012-02,유럽,53.8,0.1
우크라이나,403,128,4,36,1832,2403,2012-02,유럽,16.8,0.1
러시아,4819,630,9,143,6713,12314,2012-02,유럽,39.1,0.8
크로아티아,190,8,0,2,247,447,2012-02,유럽,42.5,0.0
루마니아,265,4,1,11,573,854,2012-02,유럽,31.0,0.0
불가리아,136,1,0,13,557,707,2012-02,유럽,19.2,0.0
폴란드,628,11,1,42,399,1081,2012-02,유럽,58.1,0.1
구주 기타,1051,24,18,109,577,1779,2012-02,유럽,59.1,0.2
오스트레일리아,6487,242,45,31,1867,8672,2012-02,오세아니아,74.8,1.1
뉴질랜드,1245,26,1,6,445,1723,2012-02,오세아니아,72.3,0.2
대양주 기타,263,0,1,7,125,396,2012-02,오세아니아,66.4,0.0
남아프리카공화국,259,16,3,9,755,1042,2012-02,아프리카,24.9,0.0
아프리카 기타,554,612,18,393,551,2128,2012-02,아프리카,26.0,0.1
국적미상,7,0,0,0,2,9,2012-02,기타대륙,77.8,0.0
교포,0,0,0,0,22073,22073,2012-02,교포,0.0,0.0
일본,353455,1718,171,946,4429,360719,2012-03,아시아,98.0,49.7
대만,34633,48,2,150,791,35624,2012-03,아시아,97.2,4.9
홍콩,22805,24,0,38,731,23598,2012-03,아시아,96.6,3.2
마카오,916,0,0,5,0,921,2012-03,아시아,99.5,0.1
태국,33134,41,69,78,5547,38869,2012-03,아시아,85.2,4.7
말레이시아,12407,71,9,93,1326,13906,2012-03,아시아,89.2,1.7
필리핀,9245,240,66,86,11313,20950,2012-03,아시아,44.1,1.3
인도네시아,5135,560,140,74,3773,9682,2012-03,아시아,53.0,0.7
싱가포르,8410,111,1,18,1264,9804,2012-03,아시아,85.8,1.2
미얀마,1089,11,11,27,3889,5027,2012-03,아시아,21.7,0.2
베트남,4095,333,81,323,5136,9968,2012-03,아시아,41.1,0.6
인도,1634,1887,135,63,2167,5886,2012-03,아시아,27.8,0.2
스리랑카,161,21,4,17,1063,1266,2012-03,아시아,12.7,0.0
파키스탄,193,292,17,34,411,947,2012-03,아시아,20.4,0.0
방글라데시,130,101,39,35,620,925,2012-03,아시아,14.1,0.0
캄보디아,224,40,20,48,2511,2843,2012-03,아시아,7.9,0.0
몽골,3561,407,21,517,1301,5807,2012-03,아시아,61.3,0.5
중국,110965,7140,279,12386,52921,183691,2012-03,아시아,60.4,15.6
이란,146,266,3,17,51,483,2012-03,아시아,30.2,0.0
이스라엘,1071,4,6,1,20,1102,2012-03,아시아,97.2,0.2
터키,827,19,70,10,520,1446,2012-03,아시아,57.2,0.1
우즈베키스탄,442,1091,1,50,2824,4408,2012-03,아시아,10.0,0.1
카자흐스탄,459,171,21,49,320,1020,2012-03,아시아,45.0,0.1
GCC,997,125,32,60,124,1338,2012-03,아시아,74.5,0.1
아시아 기타,1132,542,155,83,2160,4072,2012-03,아시아,27.8,0.2
미국,42005,598,1301,78,11925,55907,2012-03,아메리카,75.1,5.9
캐나다,7948,73,30,16,2651,10718,2012-03,아메리카,74.2,1.1
멕시코,456,20,3,13,219,711,2012-03,아메리카,64.1,0.1
브라질,771,135,14,16,210,1146,2012-03,아메리카,67.3,0.1
미주 기타,1008,20,35,35,386,1484,2012-03,아메리카,67.9,0.1
영국,8460,346,12,13,1048,9879,2012-03,유럽,85.6,1.2
독일,7747,223,14,49,1654,9687,2012-03,유럽,80.0,1.1
프랑스,4445,231,76,79,1109,5940,2012-03,유럽,74.8,0.6
네덜란드,1455,45,1,6,440,1947,2012-03,유럽,74.7,0.2
스웨덴,1187,73,6,9,125,1400,2012-03,유럽,84.8,0.2
스위스,840,11,0,3,54,908,2012-03,유럽,92.5,0.1
이탈리아,1898,28,17,5,241,2189,2012-03,유럽,86.7,0.3
덴마크,581,39,0,4,107,731,2012-03,유럽,79.5,0.1
노르웨이,1011,183,2,3,82,1281,2012-03,유럽,78.9,0.1
벨기에,577,35,4,4,94,714,2012-03,유럽,80.8,0.1
오스트리아,540,7,2,4,173,726,2012-03,유럽,74.4,0.1
스페인,931,13,17,24,192,1177,2012-03,유럽,79.1,0.1
그리스,392,30,0,0,165,587,2012-03,유럽,66.8,0.1
포르투갈,337,6,6,2,55,406,2012-03,유럽,83.0,0.0
핀란드,647,17,4,9,200,877,2012-03,유럽,73.8,0.1
아일랜드,387,20,1,1,149,558,2012-03,유럽,69.4,0.1
우크라이나,498,127,29,5,1288,1947,2012-03,유럽,25.6,0.1
러시아,5457,637,133,81,6307,12615,2012-03,유럽,43.3,0.8
크로아티아,168,24,0,0,143,335,2012-03,유럽,50.1,0.0
루마니아,260,18,10,1,390,679,2012-03,유럽,38.3,0.0
불가리아,139,2,0,3,314,458,2012-03,유럽,30.3,0.0
폴란드,684,15,1,7,319,1026,2012-03,유럽,66.7,0.1
구주 기타,1606,41,54,17,520,2238,2012-03,유럽,71.8,0.2
오스트레일리아,8407,297,56,6,1035,9801,2012-03,오세아니아,85.8,1.2
뉴질랜드,1439,31,4,2,380,1856,2012-03,오세아니아,77.5,0.2
대양주 기타,368,4,1,3,118,494,2012-03,오세아니아,74.5,0.1
남아프리카공화국,413,16,8,2,323,762,2012-03,아프리카,54.2,0.1
아프리카 기타,985,812,31,144,423,2395,2012-03,아프리카,41.1,0.1
국적미상,13,3,0,1,0,17,2012-03,기타대륙,76.5,0.0
교포,0,0,0,0,28459,28459,2012-03,교포,0.0,0.0
일본,291877,1510,127,247,4895,298656,2012-04,아시아,97.7,37.7
대만,42231,75,2,29,864,43201,2012-04,아시아,97.8,5.5
홍콩,34818,35,1,21,688,35563,2012-04,아시아,97.9,4.5
마카오,1690,1,0,1,1,1693,2012-04,아시아,99.8,0.2
태국,43254,56,51,28,5497,48886,2012-04,아시아,88.5,5.6
말레이시아,18532,59,2,22,1401,20016,2012-04,아시아,92.6,2.4
필리핀,14806,221,89,33,17145,32294,2012-04,아시아,45.8,1.9
인도네시아,8153,576,21,30,4749,13529,2012-04,아시아,60.3,1.1
싱가포르,11445,117,1,11,1410,12984,2012-04,아시아,88.1,1.5
미얀마,1401,21,3,6,4870,6301,2012-04,아시아,22.2,0.2
베트남,6115,517,24,67,3733,10456,2012-04,아시아,58.5,0.8
인도,2339,2026,17,28,2953,7363,2012-04,아시아,31.8,0.3
스리랑카,346,19,35,2,1475,1877,2012-04,아시아,18.4,0.0
파키스탄,344,245,8,10,351,958,2012-04,아시아,35.9,0.0
방글라데시,176,111,36,15,621,959,2012-04,아시아,18.4,0.0
캄보디아,722,35,29,14,2184,2984,2012-04,아시아,24.2,0.1
몽골,3186,398,15,122,972,4693,2012-04,아시아,67.9,0.4
중국,166843,7139,289,2556,45287,222114,2012-04,아시아,75.1,21.6
이란,183,219,1,5,20,428,2012-04,아시아,42.8,0.0
이스라엘,1004,4,7,0,59,1074,2012-04,아시아,93.5,0.1
터키,913,11,16,0,807,1747,2012-04,아시아,52.3,0.1
우즈베키스탄,410,1051,3,16,2453,3933,2012-04,아시아,10.4,0.1
카자흐스탄,457,104,0,10,329,900,2012-04,아시아,50.8,0.1
GCC,933,104,24,19,73,1153,2012-04,아시아,80.9,0.1
아시아 기타,1370,628,88,31,1499,3616,2012-04,아시아,37.9,0.2
미국,50988,606,1401,71,11319,64385,2012-04,아메리카,79.2,6.6
캐나다,9858,75,4,8,2352,12297,2012-04,아메리카,80.2,1.3
멕시코,689,14,0,9,189,901,2012-04,아메리카,76.5,0.1
브라질,1275,94,0,6,217,1592,2012-04,아메리카,80.1,0.2
미주 기타,1470,17,16,17,360,1880,2012-04,아메리카,78.2,0.2
영국,8718,418,1,5,1103,10245,2012-04,유럽,85.1,1.1
독일,6984,191,5,36,1904,9120,2012-04,유럽,76.6,0.9
프랑스,5072,189,10,82,927,6280,2012-04,유럽,80.8,0.7
네덜란드,1635,45,1,8,429,2118,2012-04,유럽,77.2,0.2
스웨덴,1287,63,4,9,132,1495,2012-04,유럽,86.1,0.2
스위스,1074,19,0,2,116,1211,2012-04,유럽,88.7,0.1
이탈리아,1871,34,8,6,233,2152,2012-04,유럽,86.9,0.2
덴마크,566,36,0,1,133,736,2012-04,유럽,76.9,0.1
노르웨이,731,231,0,6,144,1112,2012-04,유럽,65.7,0.1
벨기에,598,28,0,1,103,730,2012-04,유럽,81.9,0.1
오스트리아,624,5,0,6,176,811,2012-04,유럽,76.9,0.1
스페인,931,2,9,15,146,1103,2012-04,유럽,84.4,0.1
그리스,352,36,0,0,345,733,2012-04,유럽,48.0,0.0
포르투갈,668,8,0,3,66,745,2012-04,유럽,89.7,0.1
핀란드,590,14,0,18,273,895,2012-04,유럽,65.9,0.1
아일랜드,423,23,0,1,111,558,2012-04,유럽,75.8,0.1
우크라이나,497,130,1,4,1819,2451,2012-04,유럽,20.3,0.1
러시아,6830,940,3,20,7251,15044,2012-04,유럽,45.4,0.9
크로아티아,151,8,0,0,239,398,2012-04,유럽,37.9,0.0
루마니아,360,23,0,0,566,949,2012-04,유럽,37.9,0.0
불가리아,151,3,0,1,453,608,2012-04,유럽,24.8,0.0
폴란드,615,22,0,6,494,1137,2012-04,유럽,54.1,0.1
구주 기타,1461,75,5,12,571,2124,2012-04,유럽,68.8,0.2
오스트레일리아,9326,340,43,1,1097,10807,2012-04,오세아니아,86.3,1.2
뉴질랜드,2171,32,1,0,381,2585,2012-04,오세아니아,84.0,0.3
대양주 기타,517,1,6,0,148,672,2012-04,오세아니아,76.9,0.1
남아프리카공화국,446,17,0,0,257,720,2012-04,아프리카,61.9,0.1
아프리카 기타,1080,747,93,50,582,2552,2012-04,아프리카,42.3,0.1
국적미상,12,2,1,0,0,15,2012-04,기타대륙,80.0,0.0
교포,0,0,0,0,29054,29054,2012-04,교포,0.0,0.0
일본,306488,1914,125,377,7694,316598,2012-05,아시아,96.8,41.8
대만,40636,66,5,50,1028,41785,2012-05,아시아,97.3,5.5
홍콩,23450,37,1,17,758,24263,2012-05,아시아,96.6,3.2
마카오,1061,0,0,1,4,1066,2012-05,아시아,99.5,0.1
태국,26476,31,30,18,5660,32215,2012-05,아시아,82.2,3.6
말레이시아,14797,64,4,19,1376,16260,2012-05,아시아,91.0,2.0
필리핀,10191,256,54,41,22115,32657,2012-05,아시아,31.2,1.4
인도네시아,7988,652,25,35,5226,13926,2012-05,아시아,57.4,1.1
싱가포르,12196,137,4,12,1527,13876,2012-05,아시아,87.9,1.7
미얀마,1208,22,0,7,5830,7067,2012-05,아시아,17.1,0.2
베트남,4398,486,41,108,4558,9591,2012-05,아시아,45.9,0.6
인도,2343,2072,16,33,4274,8738,2012-05,아시아,26.8,0.3
스리랑카,213,19,4,7,1540,1783,2012-05,아시아,11.9,0.0
파키스탄,275,241,6,8,344,874,2012-05,아시아,31.5,0.0
방글라데시,159,109,44,16,474,802,2012-05,아시아,19.8,0.0
캄보디아,596,68,62,11,1809,2546,2012-05,아시아,23.4,0.1
몽골,3905,456,17,103,819,5300,2012-05,아시아,73.7,0.5
중국,154841,6946,422,3226,45004,210439,2012-05,아시아,73.6,21.1
이란,455,354,1,7,31,848,2012-05,아시아,53.7,0.1
이스라엘,878,0,6,0,83,967,2012-05,아시아,90.8,0.1
터키,912,13,13,6,713,1657,2012-05,아시아,55.0,0.1
우즈베키스탄,589,1051,0,14,1765,3419,2012-05,아시아,17.2,0.1
카자흐스탄,578,144,1,18,271,1012,2012-05,아시아,57.1,0.1
GCC,990,108,45,19,96,1258,2012-05,아시아,78.7,0.1
아시아 기타,1444,770,124,42,2131,4511,2012-05,아시아,32.0,0.2
미국,51105,514,1238,84,12031,64972,2012-05,아메리카,78.7,7.0
캐나다,8958,74,7,20,2618,11677,2012-05,아메리카,76.7,1.2
멕시코,592,13,0,7,212,824,2012-05,아메리카,71.8,0.1
브라질,995,106,9,6,445,1561,2012-05,아메리카,63.7,0.1
미주 기타,1541,26,42,15,630,2254,2012-05,아메리카,68.4,0.2
영국,6492,339,5,3,1063,7902,2012-05,유럽,82.2,0.9
독일,6799,201,10,62,2015,9087,2012-05,유럽,74.8,0.9
프랑스,4440,234,37,128,1132,5971,2012-05,유럽,74.4,0.6
네덜란드,1729,59,1,12,401,2202,2012-05,유럽,78.5,0.2
스웨덴,1191,69,11,8,142,1421,2012-05,유럽,83.8,0.2
스위스,1025,13,1,8,75,1122,2012-05,유럽,91.4,0.1
이탈리아,2309,30,14,12,529,2894,2012-05,유럽,79.8,0.3
덴마크,757,34,1,8,137,937,2012-05,유럽,80.8,0.1
노르웨이,869,180,0,1,97,1147,2012-05,유럽,75.8,0.1
벨기에,592,23,3,8,107,733,2012-05,유럽,80.8,0.1
오스트리아,633,2,0,18,187,840,2012-05,유럽,75.4,0.1
스페인,1040,16,3,24,260,1343,2012-05,유럽,77.4,0.1
그리스,403,34,0,0,256,693,2012-05,유럽,58.2,0.1
포르투갈,393,3,0,2,57,455,2012-05,유럽,86.4,0.1
핀란드,686,15,0,18,282,1001,2012-05,유럽,68.5,0.1
아일랜드,403,16,0,0,110,529,2012-05,유럽,76.2,0.1
우크라이나,488,103,0,3,1986,2580,2012-05,유럽,18.9,0.1
러시아,6386,779,19,19,7444,14647,2012-05,유럽,43.6,0.9
크로아티아,221,20,0,1,390,632,2012-05,유럽,35.0,0.0
루마니아,336,12,1,0,622,971,2012-05,유럽,34.6,0.0
불가리아,181,3,0,1,471,656,2012-05,유럽,27.6,0.0
폴란드,744,14,0,14,493,1265,2012-05,유럽,58.8,0.1
구주 기타,1529,100,4,33,729,2395,2012-05,유럽,63.8,0.2
오스트레일리아,8667,354,55,6,1187,10269,2012-05,오세아니아,84.4,1.2
뉴질랜드,2065,22,1,1,397,2486,2012-05,오세아니아,83.1,0.3
대양주 기타,592,1,7,1,219,820,2012-05,오세아니아,72.2,0.1
남아프리카공화국,388,24,1,0,272,685,2012-05,아프리카,56.6,0.1
아프리카 기타,1266,615,105,65,702,2753,2012-05,아프리카,46.0,0.2
국적미상,6,0,0,0,1,7,2012-05,기타대륙,85.7,0.0
교포,0,0,0,0,29413,29413,2012-05,교포,0.0,0.0
일본,296274,1492,103,627,3887,302383,2012-06,아시아,98.0,39.2
대만,49467,64,1,108,938,50578,2012-06,아시아,97.8,6.5
홍콩,28395,38,1,35,733,29202,2012-06,아시아,97.2,3.8
마카오,1714,0,0,3,7,1724,2012-06,아시아,99.4,0.2
태국,19130,31,92,38,4811,24102,2012-06,아시아,79.4,2.5
말레이시아,9579,99,0,67,1402,11147,2012-06,아시아,85.9,1.3
필리핀,7705,200,44,40,19456,27445,2012-06,아시아,28.1,1.0
인도네시아,8730,633,17,56,4609,14045,2012-06,아시아,62.2,1.2
싱가포르,14607,98,1,33,1387,16126,2012-06,아시아,90.6,1.9
미얀마,968,17,5,7,5252,6249,2012-06,아시아,15.5,0.1
베트남,6090,501,24,177,3369,10161,2012-06,아시아,59.9,0.8
인도,2842,1866,7,38,3882,8635,2012-06,아시아,32.9,0.4
스리랑카,653,9,7,8,1029,1706,2012-06,아시아,38.3,0.1
파키스탄,303,248,1,17,245,814,2012-06,아시아,37.2,0.0
방글라데시,330,97,69,16,322,834,2012-06,아시아,39.6,0.0
캄보디아,582,68,11,16,959,1636,2012-06,아시아,35.6,0.1
몽골,3757,465,10,249,564,5045,2012-06,아시아,74.5,0.5
중국,179074,5991,683,3756,44978,234482,2012-06,아시아,76.4,23.7
이란,261,350,2,4,40,657,2012-06,아시아,39.7,0.0
이스라엘,865,4,3,3,41,916,2012-06,아시아,94.4,0.1
터키,1382,19,10,7,632,2050,2012-06,아시아,67.4,0.2
우즈베키스탄,579,941,1,19,1471,3011,2012-06,아시아,19.2,0.1
카자흐스탄,719,102,0,16,205,1042,2012-06,아시아,69.0,0.1
GCC,1738,62,39,41,71,1951,2012-06,아시아,89.1,0.2
아시아 기타,1820,620,83,37,1014,3574,2012-06,아시아,50.9,0.2
미국,53498,503,1004,76,10968,66049,2012-06,아메리카,81.0,7.1
캐나다,7142,66,5,18,2321,9552,2012-06,아메리카,74.8,0.9
멕시코,602,16,1,14,209,842,2012-06,아메리카,71.5,0.1
브라질,1057,78,3,20,492,1650,2012-06,아메리카,64.1,0.1
미주 기타,1511,19,22,19,713,2284,2012-06,아메리카,66.2,0.2
영국,6767,320,7,13,899,8006,2012-06,유럽,84.5,0.9
독일,5996,176,6,42,1920,8140,2012-06,유럽,73.7,0.8
프랑스,4530,207,13,81,983,5814,2012-06,유럽,77.9,0.6
네덜란드,1632,58,2,15,427,2134,2012-06,유럽,76.5,0.2
스웨덴,1188,55,3,18,86,1350,2012-06,유럽,88.0,0.2
스위스,837,10,0,7,78,932,2012-06,유럽,89.8,0.1
이탈리아,1914,25,5,11,732,2687,2012-06,유럽,71.2,0.3
덴마크,626,56,0,5,79,766,2012-06,유럽,81.7,0.1
노르웨이,863,194,0,4,66,1127,2012-06,유럽,76.6,0.1
벨기에,673,31,4,9,129,846,2012-06,유럽,79.6,0.1
오스트리아,576,7,1,6,182,772,2012-06,유럽,74.6,0.1
스페인,1062,8,1,22,190,1283,2012-06,유럽,82.8,0.1
그리스,401,22,0,0,341,764,2012-06,유럽,52.5,0.1
포르투갈,607,7,1,1,58,674,2012-06,유럽,90.1,0.1
핀란드,557,18,0,7,247,829,2012-06,유럽,67.2,0.1
아일랜드,408,19,0,1,127,555,2012-06,유럽,73.5,0.1
우크라이나,624,104,4,5,1806,2543,2012-06,유럽,24.5,0.1
러시아,7489,624,13,40,6630,14796,2012-06,유럽,50.6,1.0
크로아티아,171,11,0,1,293,476,2012-06,유럽,35.9,0.0
루마니아,307,12,0,1,578,898,2012-06,유럽,34.2,0.0
불가리아,135,3,0,1,506,645,2012-06,유럽,20.9,0.0
폴란드,690,12,0,9,421,1132,2012-06,유럽,61.0,0.1
구주 기타,1585,66,9,26,636,2322,2012-06,유럽,68.3,0.2
오스트레일리아,9153,308,30,4,1050,10545,2012-06,오세아니아,86.8,1.2
뉴질랜드,2231,25,0,0,369,2625,2012-06,오세아니아,85.0,0.3
대양주 기타,509,1,4,5,150,669,2012-06,오세아니아,76.1,0.1
남아프리카공화국,589,16,1,1,214,821,2012-06,아프리카,71.7,0.1
아프리카 기타,1897,723,85,59,669,3433,2012-06,아프리카,55.3,0.3
국적미상,10,5,0,0,0,15,2012-06,기타대륙,66.7,0.0
교포,0,0,0,0,28842,28842,2012-06,교포,0.0,0.0
일본,291787,1573,86,427,5604,299477,2012-07,아시아,97.4,35.9
대만,55007,56,5,59,990,56117,2012-07,아시아,98.0,6.8
홍콩,30578,28,2,12,915,31535,2012-07,아시아,97.0,3.8
마카오,1792,0,0,1,5,1798,2012-07,아시아,99.7,0.2
태국,15124,34,39,66,5173,20436,2012-07,아시아,74.0,1.9
말레이시아,6052,58,5,52,1453,7620,2012-07,아시아,79.4,0.7
필리핀,6239,169,69,68,17666,24211,2012-07,아시아,25.8,0.8
인도네시아,5673,509,16,69,3346,9613,2012-07,아시아,59.0,0.7
싱가포르,6660,107,3,46,1419,8235,2012-07,아시아,80.9,0.8
미얀마,996,41,1,16,4526,5580,2012-07,아시아,17.8,0.1
베트남,5814,404,24,237,3043,9522,2012-07,아시아,61.1,0.7
인도,2076,1947,9,61,3487,7580,2012-07,아시아,27.4,0.3
스리랑카,132,11,5,6,690,844,2012-07,아시아,15.6,0.0
